表,食谱,状态,原料,营养档案,改前,改后,处理说明
正式食谱,当前名称：排敏：鸡肉7.2-7.6,PRIVATE_CUSTOM,,熟,去壳、全蛋、生重、充分搅拌,去壳、全蛋、熟重、充分搅拌,熟档案：生重→熟重
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"a8f50f30-16f8-4c18-a216-e9ed0a6d4f65, a8ba4629-0933-4427-a537-5febbee5ed48, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去骨、去皮、生重、打碎、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去油、生重、打碎、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"39b36568-24f1-4b20-b8ef-61ce023d568d, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",煮熟后称重、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"dd27baa4-36cb-4405-9092-0eb37e6160fa, df60590f-a697-4897-ab08-1322e2287268, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",生重、打粉、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"a8ba4629-0933-4427-a537-5febbee5ed48, 39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去皮、煮熟后称重、打碎、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",煮熟后称重、打碎、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"5faa5c79-f01f-4f45-876c-57cceb1b9db0, a54a1be3-e846-4439-a316-95d77b4a016a, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",盐水/小苏打浸泡30分钟、煮熟（不软）后称重、打碎、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",生重、打碎、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",生重、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",生重、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",生重、充分搅拌,机器码还原
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,"dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",生重、充分搅拌,机器码还原
正式食谱,小瓜 的鲜食食谱 07/02,PRIVATE_CUSTOM,,生,浸泡60分钟、煮熟后称重、充分搅拌,浸泡60分钟、生重、充分搅拌,生档案：熟制称重→生重
正式食谱,小瓜 的鲜食食谱 07/02,PRIVATE_CUSTOM,,熟,去壳、全蛋、生重、充分搅拌,去壳、全蛋、熟重、充分搅拌,熟档案：生重→熟重
正式食谱,（咖喱定制）创伤恢复+红胡子,PRIVATE_CUSTOM,,,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,充分搅拌,机器码还原
正式食谱,小瓜 的鲜食食谱 07/02,PRIVATE_CUSTOM,,熟,焯水、沥干后称重、打碎、充分搅拌,焯水、沥干后称重、熟重、打碎、充分搅拌,熟档案：补熟重
正式食谱,好久 的鲜食食谱 09/06,PRIVATE_CUSTOM,,生,去皮、去瓤、煮熟后称重、充分搅拌,去皮、去瓤、生重、充分搅拌,生档案：熟制称重→生重
正式食谱,小瓜 的鲜食食谱 07/02,PRIVATE_CUSTOM,,干,打粉后充分搅拌,打粉、充分搅拌,自由文本归一
正式食谱,好久 的鲜食食谱 09/06,PRIVATE_CUSTOM,,生,打碎、静置30分钟、焯水沥干、称重、充分搅拌,打碎、静置30分钟、焯水、沥干后称重、充分搅拌,自由文本归一、去掉多余称重
正式食谱,好久 的鲜食食谱 09/06,PRIVATE_CUSTOM,,生,煮熟后称重、打碎、充分搅拌,生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,好久 的鲜食食谱 09/06,PRIVATE_CUSTOM,,生,煮熟后称重、打碎、充分搅拌,生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,好久 的鲜食食谱 09/06,PRIVATE_CUSTOM,,生,去皮、煮熟后称重、打碎、充分搅拌,去皮、生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,好久 的鲜食食谱 09/06,PRIVATE_CUSTOM,,油脂,生重、充分搅拌,充分搅拌,油/粉/补剂：删除口径词
正式食谱,燕麦鳕鱼猪肉,PUBLIC,,熟,生重、打碎、充分搅拌,熟重、打碎、充分搅拌,熟档案：生重→熟重
正式食谱,土豆大米鳕鱼火鸡胸,PRIVATE_CUSTOM,,生,煮熟后称重、打碎、充分搅拌,生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,土豆大米鳕鱼火鸡胸,PRIVATE_CUSTOM,,生,去皮、煮熟后称重、打碎、充分搅拌,去皮、生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去油、生重、打碎、充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7ac2b49e-63fc-4cfa-b48d-6e0b0681958d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去油、生重、焯水、打碎、充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"a8f50f30-16f8-4c18-a216-e9ed0a6d4f65, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去骨、生重、打碎、充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"e7f1e345-6aee-4274-9c81-b2463dae82df, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7ac2b49e-63fc-4cfa-b48d-6e0b0681958d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去壳、生重、焯水、打碎、充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"d7700de4-1e3a-4c63-a95a-f2b7f86cc4f2, 39b36568-24f1-4b20-b8ef-61ce023d568d, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",浸泡60分钟、煮熟后称重、充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"a8ba4629-0933-4427-a537-5febbee5ed48, 39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去皮、煮熟后称重、打碎、充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",打碎、充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"dd27baa4-36cb-4405-9092-0eb37e6160fa, 7ac2b49e-63fc-4cfa-b48d-6e0b0681958d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",生重、焯水、打碎、充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"5faa5c79-f01f-4f45-876c-57cceb1b9db0, 39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",盐水/小苏打浸泡30分钟、煮熟后称重、打碎、充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,充分搅拌,机器码还原
正式食谱,Lucky 的易消化简餐,PRIVATE_CUSTOM,,,打碎、静置30分钟、焯水沥干、称重、充分搅拌,打碎、静置30分钟、焯水、沥干后称重、充分搅拌,自由文本归一、去掉多余称重
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,充分搅拌,机器码还原
正式食谱,Lucky 定制食谱,PRIVATE_CUSTOM,,,"df60590f-a697-4897-ab08-1322e2287268, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",打粉、充分搅拌,机器码还原
正式食谱,财宝定制,PRIVATE_CUSTOM,,,打碎、静置30分钟、焯水沥干、称重、充分搅拌,打碎、静置30分钟、焯水、沥干后称重、充分搅拌,自由文本归一、去掉多余称重
正式食谱,紫薯黑米猪里脊,DRAFT,,熟,水煮或焯水后沥干、称重、打碎、充分搅拌,焯水、沥干后称重、熟重、打碎、充分搅拌,自由文本归一、熟档案：补熟重、去掉多余称重
正式食谱,鸡胸牛里脊三文鱼,PRIVATE_CUSTOM,,生,去油去血管、生重、打碎、充分搅拌,去油、生重、打碎、充分搅拌,自由文本归一
