原料ID,原料名称,阶段,下一步动作,问题代码,问题详情,主档案 USDA 食物,主档案 FDC ID,主档案状态,主档案入库状态,次级 USDA 档案数,总档案映射数,待审 USDA 候选数,已确认 USDA 候选数,已拒绝 USDA 候选数,最佳候选ID,最佳候选 FDC ID,最佳候选食物,最佳候选分数,最佳候选置信度,Agent 状态,Ingredient 当前来源,Ingredient 当前 externalId
7b905c5d-3b9b-452e-8c7d-4ff3dc77ede9,香菜,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Coriander (cilantro) leaves, raw",169997,生 / 标准可食部 / 未加工,VERIFIED,0,1,1,0,0,2b2d318d-4482-47c3-ba13-5d8a1a08288b,169997,"Coriander (cilantro) leaves, raw",0.98,HIGH,FAILED,USDA,169997
4543eab0-f638-49f8-b4db-fdd08e78ae46,香蕉,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Bananas, raw",173944,生 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,3b9a9498-bca9-427f-aa34-adeacfd2d3bc,1105314,"Bananas, ripe and slightly ripe, raw",0.98,HIGH,,USDA,173944
3b899943-9565-4de5-a868-c582fcbd8e8f,小白菜,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Cabbage, chinese (pak-choi), raw",170390,生 / 标准可食部 / 未加工,VERIFIED,1,2,0,0,0,,,,0,,,USDA,170390
96cc4fd8-4fc5-4070-8d34-b23a376b7bc8,小麦胚芽油,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Oil, wheat germ",171014,油脂 / 标准可食部 / 未加工,VERIFIED,0,1,1,0,0,a8fcea4c-e3a0-447b-bb2b-4b6698463dfc,171014,"Oil, wheat germ",0.87,HIGH,,USDA,171014
50d618e6-8163-4c84-ace0-f867e24846c3,小米,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Millet, raw",169702,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,11753338-ca92-4ddd-8109-25668a94d3fa,169702,"Millet, raw",0.98,HIGH,COMPLETED,USDA,169702
6d06ece2-37da-4c98-8738-9ec56f639fe1,鳕鱼颈背肉,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Fish, cod, Atlantic, raw",171955,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,97bdd74f-f44b-44cd-bbb9-361a81389251,169809,"Fish, lingcod, meat, raw (Alaska Native)",0.95,HIGH,,USDA,171955
ed8de0c2-0720-4e86-b5ba-b4b3be75a187,鸭蛋,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Egg, duck, whole, fresh, raw",172189,生 / 整体 / 未加工,VERIFIED,0,1,1,0,0,76f3714f-c4cc-4459-8c97-c0f2a0987582,172189,"Egg, duck, whole, fresh, raw",0.87,HIGH,,USDA,172189
1bf47dc9-30f6-456b-8cb6-962636f74e14,鸭肝,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Duck, domesticated, liver, raw",174467,生 / 标准可食部 / 未加工,VERIFIED,0,1,1,0,0,2cf71b70-50cd-4b79-9526-c60590da5c70,174467,"Duck, domesticated, liver, raw",0.98,HIGH,,USDA,174467
31ecac81-6ae6-4df3-af9b-1609fe58b6de,鸭胸,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Duck, domesticated, meat only, raw",172410,生 / 标准可食部 / 未加工,VERIFIED,0,1,1,0,0,cf3aa372-75b9-4b39-abf2-7ba88a2b5837,172410,"Duck, domesticated, meat only, raw",0.75,MEDIUM,,USDA,172410
d478b1d9-a698-419e-a397-819756083a02,亚麻籽,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Seeds, flaxseed",169414,干 / 标准可食部 / 未加工,VERIFIED,0,1,1,0,0,050e9f52-2745-40fc-9025-abc2afd9343a,169414,"Seeds, flaxseed",0.87,HIGH,,USDA,169414
abf559c9-c7ce-40c7-8f67-736cc1816cf4,亚麻籽油,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Oil, flaxseed, cold pressed",167702,油脂 / 标准可食部 / 未加工,VERIFIED,0,1,2,0,0,00baee17-e1bd-4ba1-b0da-0fe149a978c9,171442,"Oil, flaxseed, contains added sliced flaxseed",0.87,HIGH,,USDA,167702
ee32dc1f-17cf-4d26-ad04-626d3077836b,燕麦,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Cereals, oats, regular and quick, not fortified, dry",173904,干 / 标准可食部 / 未加工,VERIFIED,1,2,1,0,0,ea682cf2-b8e6-44d9-a21a-c5a1deacbe18,173904,"Cereals, oats, regular and quick, not fortified, dry",0.97,HIGH,,USDA,173904
29c41b2f-f5f4-4930-9edc-4c70e8d8ebd2,羊肚菌（鲜）,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Mushrooms, morel, raw",168423,生 / 标准可食部 / 未加工,VERIFIED,0,1,0,0,0,,,,0,,,USDA,168423
280b5e89-4435-4a90-bb43-1639db85e5d5,羊里脊,已有 USDA 主档案,已入库；后续只需抽样验收或补充次级档案,,,"Lamb, loin, separable lean only, trimmed to 1/4"" fat, choice, raw",172491,生 / 标准可食部 / 未加工,VERIFIED,1,2,2,0,0,e6b51b09-dea1-4311-b0bc-69b9360e1e6a,172488,"Lamb, leg, sirloin half, separable lean and fat, trimmed to 1/4"" fat, choice, raw",0.98,HIGH,COMPLETED,USDA,172491
